"","x1","status","year","month","day","name","alt_name_number_1","alt_name_number_2","alt_name_number_3","order","victims_race","victims_sex","victims_age","fips_lynch","lynch_county","lynch_state","fips_mob","mob_county","mob_state","method_of_death","accusation","accusation_code","mob_size","mob_size_code","appalachia","brundage_inventory","caldwell_de_lord","carrigan","carrigan_webb","chicago_tribune","comp_of_mob","creation","custody","daniel_williams_tuskegee","eji","horrific_torture","jones","modified","moore","naacp","newkirk","notable","notes","orr_klopfer","other","pfeifer","photo","place","post_mort_codes","post_mort_desc","problem_flag","resident_status","time_of_lynching","tolnay_beck","torture","torture_codes","verification","verified","wright","status_clean","decade"
"11",11,"Lynching",1965,3,9,"James J. Reeb",NA,NA,NA,"1 of 1","White-Anglo","Male","38",1047,"Dallas","AL",1047,"Dallas","AL","Beaten","Civil rights activities","9","At least 4",1,NA,"INAP","INAP","INAP","INAP","Chicago Tribune inventory covers the years 1882-1918",NA,"05/13/2011",NA,"Williams inventory covers the years 1882-1950","EJI inventory excludes non-black victims",0,"INAP","08/14/2020 16:53:57","INAP","James J. Reeb, 3/11/1965, Selma, White, Being a civil rights worker","INAP",NA,"From the Star, “Birmingham (UPI)—A white Boston minister who received a severe beating Tuesday night in Selma lingered near death in a Birmingham hospital today. The condition of Rev. James J. Reeb, 38, was listed as ‘extremely critical with a poor prognosis’ by officals of at the Univeristy of Alabama Hosptial. ... He still was unconscious from a clubbing he received Tuesday night in Selma as the aftermath of a civil rights march there. ... Police arrested three white men at Selma in connection with the beating.” From the Gazette, “The Rev. James J. Reeb, 38, a white Unitarian minister from Boston, was attacked by several white men in Selma March 9 and died two days later in a hospital. Four white men have been charged with murder in his slaying.” He died on the 11th from beatings on the 9th.","INAP",NA,"INAP",NA,"Selma","0","None reported",NA,"Unitarian minister from Boston","Night","Original Tolnay-Beck inventory covers the years 1882-1930","None reported","0","Anniston Star 3/11/1965, p. 1 (Ancestry.com)
Gastonia (NC) Gazette 3/26/1965, p. 1 (NewspaperArchive.com)","Yes","INAP","lynching","1960"
"12",12,"Lynching",1965,3,25,"Viola Gregg Liuzzo",NA,NA,NA,"1 of 1","White-Anglo","Female","38",1085,"Lowndes","AL",1073,"Jefferson","AL","Shot","Being a civil rights worker","9","4",1,"Yes","INAP","INAP","INAP","INAP","Chicago Tribune inventory covers the years 1882-1918","Ku klux","05/13/2011",NA,"Williams inventory covers the years 1882-1950","EJI inventory excludes non-black victims",0,"INAP","08/14/2020 16:53:57","INAP","Viola Liuzzo, 3/25/1965, Between Selma and Montgomery, White, Being a civil rights worker","INAP",NA,"According to the Gazette, Liuzzo was killed while she was returning to Montgomery from taking a car load of civil rights marchers to Selma. From the Star, “Hayneville, Ala. (AP)—Three Birmingham area white men accompanied by an attorney for the United Ku Klux Klan of America, faced arraignment today on first-degree murder charges in the slaying of civil rights worker Viola Liuzzo. ... Charged are Eugene Thomas, 42, a steel worker, and William Orville Eaton, 41, a disabled steel worker, both of Bessemer, and Collie Leroy Wilkins Jr., 21, a self-employed mechanic from Fairfield.” The Democrat-Times reports that the trial of Wilkins ended in a mistrial. Originally a fourth man, Gary Rowe, 34, was arrested but not charged because he was an FBI informant. In a new trial, on 22 October an all white jury acquitted Wilkins of first degree murder. But on 3 December, all three were convicted of conspiracy under the 1871 Ku Klux Klan Act, and sentenced to 10 years in prison.","INAP",NA,"INAP",NA,"Highway 80, 3 miles W of Lowndesboro","0","None reported",NA,"A civil rights worker from Detroit","Night","Original Tolnay-Beck inventory covers the years 1882-1930","None reported","0","Gastonia (NC) Gazette 3/26/1965, p. 1 (NewspaperArchive.com)
Anniston Star 4/26/1965, p. 2 (NewspaperArchive.com)
Greenville (MS) Delta Democrat-Times 5/13/1965, p. 16 (NewspaperArchive.com)","Yes","INAP","lynching","1960"
"13",13,"Lynching",1965,7,15,"Willie Brewster",NA,NA,NA,"1 of 1","Black","Male","38",1015,"Calhoun","AL",1015,"Calhoun","AL","Shot","Race hatred","10","3",1,"Yes","INAP","INAP","INAP","INAP","Chicago Tribune inventory covers the years 1882-1918","Nightriders","05/13/2011",NA,"Williams inventory covers the years 1882-1950","EJI inventory covers the years 1877-1950",0,"INAP","09/13/2020 11:06:22","INAP","Willie Browser, 7/15/1965, Anniston, Negro, Shot by nightriders","INAP",NA,"From the News, “Anniston, Ala.—A negro, paralyzed from the waist down by a bullet fired by nightriders, lay near death Friday night. Willie Brewster, 38, was shot about 11:30 p.m., Thursday [15th], about two hours after the militantly anti-Negro National States Rights Party (NSRP) concluded a rally at the Calhoun County Courthouse steps in Anniston.” The same report appears in the Chronicle, and notes that “The spot where the shooting took place was in the same general area where a ‘freedom riders’ bus was burned on Mother’s Day in 1961.” According to the Tribune, Brewster was in a car with three other black men when he was shot; “The Negroes said three shots were fired at their car from a car loaded with white men.” He died in an Anniston hospital on Sunday, 18 July.","INAP",NA,"INAP",NA,"Near Anniston","0","None reported",NA,"No indication of being a stranger or marginalized. A pipe foundry worker.","11:30 PM","Original Tolnay-Beck inventory covers the years 1882-1930","None reported","0","Kingsport (TN) News 7/17/1965, p. 1 (NewspaperArchive.com)
Oakland (CA) Tribune 7/17/1965, p. 35 (NewspaperArchive.com)
Augusta (GA) Chronicle 7/17/1965, p. 3A (GenealogyBank.com)","Yes","INAP","lynching","1960"
"14",14,"Lynching",1964,3,23,"Johnnie Mae Chappell",NA,NA,NA,"1 of 1","Black","Female","35-36",12031,"Duval","FL",12031,"Duval","FL","Shot","Unknown","16","3-4",1,NA,"INAP","INAP","INAP","INAP","Chicago Tribune inventory covers the years 1882-1918",NA,"05/13/2011",NA,"Not in Williams inventory","EJI inventory covers the years 1877-1950",0,"INAP","09/10/2020 17:00:10","INAP",NA,"INAP",NA,"While reporting on racial violence in Jacksonville, the Waterloo Daily Courier says “A gun fired from a passing car brought death to Johnnie Mae Chappell, 36, mother of several children. She was shot as she walked along U.S. 1, northwest of the city limits.” From the Connellsville Daily Courier, “A Negro woman, Jonnie Mae Chappell, was fatally shot in the stomach from a passing car as she searched for her purse outside a suburban grocery. Witnesses were unable to identify the car or its occupants.” The Mail and the Record, and other newspapers, report that three young men [lists names and ages] have been charged in the murder of Chappell and the police are looking for a fourth suspect. According to the Advocate, J. W. Rich, 22, white son of a preacher, was convicted of manslaughter on 2 December for the killing of Chappell and notes “His three companions also face murder charges and will be tried sparately.”","INAP",NA,"INAP",NA,"On U.S. 1 NW of Jacksonville","0","None reported",NA,"No indication of being a stranger or marginalized",NA,"Original Tolnay-Beck inventory covers the years 1882-1930","None reported","0","Waterloo (IO) Daily Courier 3/24/1964, p. 1, 2 (NewspaperArchive.com)
Connellsville (PA) Daily Courier 3/24/1964, p. 14 (NewspaperArchive.com)
New Orleans (LA) Times-Picayune 3/24/1964, p. 6 (GenealogyBank.com)
Charleston (WV) Daily Mail 8/11/1964, p. 22 (NewspaperArchive.com)
Greensboro (NC) Record 8/11/1964, p. 2 (GenealogyBank.com)
Baton Rouge (LA) Advocate 12/3/1964, p. 24 (GenealogyBank.com)","Yes","INAP","lynching","1960"
"15",15,"Lynching",1964,5,2,"Charles Eddie Moore",NA,NA,NA,"1 of 2","Black","Male","19",28149,"Warren","MS",28037,"Franklin","MS","Drown","Civil rights activity","9","3-4",1,NA,"INAP","INAP","INAP","INAP","Chicago Tribune inventory covers the years 1882-1918","Ku klux","05/13/2011",NA,"Not in Williams inventory","EJI inventory covers the years 1877-1950",1,"INAP","04/29/2020 10:23:05","INAP",NA,"INAP",NA,"The Constitution reports that James Ford Seale was convicted for his role in the kidnapping and killing of Charles Eddie Moore and Henry Hezekiah Dee. A local klan chapter came across Moore and Dee hitchhiking; the klansmen took them into the woods and beat them — they thought Moore and Dee might be bringing firearms into Franklin county for local blacks. The chief witness, Charles Edwards, against Seale stated, “... Dee and Moore were stuffed, alive, into the trunk of Seale’s Volkswagen and driven to a farm [in Mississippi]. They were later tied up and driven across the Mississippi River into Louisiana, Edwards said, and Seale told him that Dee and Moore were attached to heavy weights and dumped alive into the river.” An entry in Wikipedia says that Moore and Dee were killed in Warren County, Mississippi. The Press states that they [klansmen] “drove some 100 miles to the Ole River—the Mississippi backwater near Tullulah, La., six miles from Vicksburg—to a boat landing belonging” to one of the klansmen. There they tied Moore and Dee to weights and pushed them overboard in the river.","Charles Eddie Moore, 5/2/1964, Meadville, Black Male, Civil rights activist","Julius E. Thompson, Lynchings in Mississippi: A History, 1865-1965, 2007, p. 160: July 11, 1964, Charles Moore, Black Male, Natchez, Adams Co., A civil rights worker beaten and thrown into the Mississippi river","INAP",NA,"Six miles from Vicksburg","0","None reported",NA,"Hitchhiker",NA,"Original Tolnay-Beck inventory covers the years 1882-1930","Beaten and stuffed into a car trunk","1","Jackson Free Press 7/20/2005 (internet)
Atlanta (GA) Constitution 6/15/2007, p. 3A
","Yes","INAP","lynching","1960"
"16",16,"Lynching",1964,5,2,"Henry Hezekiah Dee",NA,NA,NA,"2 of 2","Black","Male","19",28149,"Warren","MS",28037,"Franklin","MS","Drown","Civil rights activity","9","3-4",1,NA,"INAP","INAP","INAP","INAP","Chicago Tribune inventory covers the years 1882-1918","Ku klux","05/13/2011",NA,"Not in Williams inventory","EJI inventory covers the years 1877-1950",1,"INAP","04/29/2020 10:23:05","INAP",NA,"INAP",NA,"The Constitution reports that James Ford Seale was convicted for his role in the kidnapping and killing of Charles Eddie Moore and Henry Hezekiah Dee. A local klan chapter came across Moore and Dee hitchhiking; the klansmen took them into the woods and beat them — they thought Moore and Dee might be bringing firearms into Franklin county for local blacks. The chief witness, Charles Edwards, against Seale stated, “... Dee and Morris were stuffed, alive, into the trunk of Seale’s Volkswagen and driven to a farm [in Mississippi]. They were later tied up and driven across the Mississippi River into Louisiana, Edwards said, and Seale told him that Dee and Moore were attached to heavy weights and dumped alive into the river.” An entry in Wikipedia says that Moore and Dee were killed in Warren County, Mississippi. The Press states that they [klansmen] “drove some 100 miles to the Ole River—the Mississippi backwater near Tullulah, La., six miles from Vicksburg—to a boat landing belonging” to one of the klansmen. There they tied Moore and Dee to weights and pushed them overboard in the river.","Henry Hezekiah Dee, 5/2/1964, Meadville, Black Male, Civil rights activist","Julius E. Thompson, Lynchings in Mississippi: A History, 1865-1965, 2007, p. 160: May 2, 1964, Henry H. Dee, Black Male, Natchez, Adams Co., A civil rights worker beaten and thrown into the Mississippi river","INAP",NA,"Six miles from Vicksburg","0","None reported",NA,"Hitchhiker",NA,"Original Tolnay-Beck inventory covers the years 1882-1930","Beaten and stuffed into a car trunk","1","Jackson Free Press 7/20/2005 (internet)
Atlanta (GA) Constitution 6/15/2007, p. 3A","Yes","INAP","lynching","1960"
"17",17,"Lynching",1964,6,21,"Andrew Goodman",NA,NA,NA,"1 of 3","White-Anglo","Male","20",28099,"Neshoba","MS",28099,"Neshoba","MS","Shot","Civil rights activities","9","Small",1,NA,"INAP","INAP","INAP","INAP","Chicago Tribune inventory covers the years 1882-1918","Ku klux","05/13/2011",NA,"Andrew Goodman, 6/21/1964, Philadelphia, Neshoba Co., White, Civil rights activities","EJI inventory excludes non-black victims",1,"INAP","08/14/2020 16:54:04","INAP",NA,"INAP","Yes","Note: police lynching, or police assisted lynching.","Andrew Goodman, 6/21/1964, Philadelphia, White Male, Civil rights activist","Julius E. Thompson, Lynchings in Mississippi: A History, 1865-1965, 2007, p. 160, 164-166: June 21, 1964, Andrew Goodman, White Male, 20, Near Philadelphia, Neshoba Co., Civil rights activity","INAP",NA,"Near Philadelphia","0","None reported",NA,"A visiting civil rights worker from New York",NA,"Original Tolnay-Beck inventory covers the years 1882-1930","Beaten","1","Wiliam Bradford Huie, Three Lives for Mississippi, University Press of Mississippi, 1965.","Yes","INAP","lynching","1960"
"18",18,"Lynching",1964,6,21,"James Earl Chaney",NA,NA,NA,"2 of 3","Black","Male","21",28099,"Neshoba","MS",28099,"Neshoba","MS","Shot","Civil rights activities","9","Small",1,NA,"INAP","INAP","INAP","INAP","Chicago Tribune inventory covers the years 1882-1918","Ku klux","05/13/2011",NA,"James Chaney, 6/21/1964, Philadelphia, Neshoba Co., Negro, Civil rights activities","EJI inventory covers the years 1877-1950",1,"INAP","06/24/2020 08:49:20","INAP",NA,"INAP","Yes","Note: police lynching, or police assisted lynching.","James Earl Chaney, 6/21/1964, Philadelphia, Black Male, Civil rights activist","Julius E. Thompson, Lynchings in Mississippi: A History, 1865-1965, 2007, p. 160, 164-166: June 21, 1964, James Chaney, Black Male, 21, Near Philadelphia, Neshoba Co., Civil rights activity","INAP",NA,"Near Philadelphia","0","None reported",NA,"A Mississippi native but returned to Mississippi for civil rights activity",NA,"Original Tolnay-Beck inventory covers the years 1882-1930","Beaten","1","Wiliam Bradford Huie, Three Lives for Mississippi, University Press of Mississippi, 1965.","Yes","INAP","lynching","1960"
"19",19,"Lynching",1964,6,21,"Michael Schwerner","Mickey Schwerner",NA,NA,"3 of 3","White-Anglo","Male","24",28099,"Neshoba","MS",28099,"Neshoba","MS","Shot","Civil rights activities","9","Small",1,NA,"INAP","INAP","INAP","INAP","Chicago Tribune inventory covers the years 1882-1918","Ku klux","05/13/2011",NA,"Michael Schwerner, 6/21/1964, Philadelphia, Neshoba Co., White, Civil rights activities","EJI inventory excludes non-black victims",1,"INAP","08/14/2020 16:54:04","INAP",NA,"INAP","Yes","Note: police lynching, or police assisted lynching.","Michael Schwerner, 6/21/1964, Philadelphia, White Male, Civil rights activist","Julius E. Thompson, Lynchings in Mississippi: A History, 1865-1965, 2007, p. 160, 164-166: June 21, 1964, Michael Schwerner, White Male, 24, Near Philadelphia, Neshoba Co., Civil rights activity","INAP",NA,"Near Philadelphia","0","None reported",NA,"A visiting civil rights worker from New York",NA,"Original Tolnay-Beck inventory covers the years 1882-1930","Beaten","1","Wiliam Bradford Huie, Three Lives for Mississippi, University Press of Mississippi, 1965.","Yes","INAP","lynching","1960"
"20",20,"Lynching",1964,7,11,"Lemuel A.  Penn",NA,NA,NA,"1 of 1","Black","Male",NA,13195,"Madison","GA",13059,"Clarke","GA","Shot","Mistaken for civil rights worker","9","3",1,NA,"Brundage inventory covers the years 1880-1930","INAP","INAP","INAP","Chicago Tribune inventory covers the years 1882-1918","Ku klux","05/13/2011",NA,"Williams inventory covers the years 1882-1950","EJI inventory covers the years 1877-1950",0,"INAP","04/29/2020 10:19:36","INAP","NAACP Thirty Years of Lynching covers the years 1889-1918, with 1919 in appendix","INAP",NA,"Mistaken for civil rights worker. Murdered by three Clarke Co. klansmen. See Shipp’s Murder at the Broad River Bridge for details.","INAP","Bill Shipp, Murder at the Broad River Bridge, 1981. Peachtree Publishers","INAP",NA,"Broad River Bridge, 14 miles N of Colbert","0","None reported",NA,"Traveling thru county on his way to Washington DC","Night","Original Tolnay-Beck inventory covers the years 1882-1930","None reported","0","Atlanta Constitution 7/13/1964, p. 1, 7 
Athens Banner-Herald 7/13/1964, p. 1","Yes","INAP","lynching","1960"
"21",21,"Lynching",1963,9,15,"Addie Mae Collins",NA,NA,NA,"4 of 4","Black","Female","10",1073,"Jefferson","AL",1073,"Jefferson","AL","Bomb blast","Race hatred","10","5",1,"Yes","INAP","INAP","INAP","INAP","Chicago Tribune inventory covers the years 1882-1918","Ku klux","05/13/2011",NA,"Williams inventory covers the years 1882-1950","EJI inventory covers the years 1877-1950",0,"INAP","04/29/2020 10:19:36","INAP",NA,"INAP",NA,"From the Chronicle, “Birmingham, Ala. (UPI)—A bomb hurled from a passing car blasted a crowded Negro church Sunday, killing four girls in their Sunday school classes and triggering outbreaks of violence that left two more persons dead in the streets. ... The bomb that killed Denise McNair, 11, Carol Robertson, 14, Cynthia Wesley, 14, and Addie Mae Collins, 10. The blast left only one of the church’s stained glass windows in its frame—a window depicting Christ leading a group of little children. The window was not undamaged, however. Christ’s face was blown out.” This incident was well covered in the national, regional, and local newspapers.

Note: later investigation revealed that at least five members of the United Klans of America planted the bomb inside the church.","INAP","Frank Sikora, Until Justice Rolls Down: The Birmingham Church Bombing Case. 1991","INAP",NA,"16th Street Baptist Church in Birmingham","0","None reported",NA,"No indication of being a stranger or marginalized",NA,"Original Tolnay-Beck inventory covers the years 1882-1930","None reported","0","Augusta (GA) Chronicle 9/15/1963, p. 1A (GenealogyBank.com)","Yes","INAP","lynching","1960"
"22",22,"Lynching",1963,9,15,"Carol Robertson",NA,NA,NA,"3 of 4","Black","Female","14",1073,"Jefferson","AL",1073,"Jefferson","AL","Bomb blast","Race hatred","10","5",1,"Yes","INAP","INAP","INAP","INAP","Chicago Tribune inventory covers the years 1882-1918","Ku klux","05/13/2011",NA,"Williams inventory covers the years 1882-1950","EJI inventory covers the years 1877-1950",0,"INAP","04/29/2020 10:19:36","INAP",NA,"INAP",NA,"From the Chronicle, “Birmingham, Ala. (UPI)—A bomb hurled from a passing car blasted a crowded Negro church Sunday, killing four girls in their Sunday school classes and triggering outbreaks of violence that left two more persons dead in the streets. ... The bomb that killed Denise McNair, 11, Carol Robertson, 14, Cynthia Wesley, 14, and Addie Mae Collins, 10. The blast left only one of the church’s stained glass windows in its frame—a window depicting Christ leading a group of little children. The window was not undamaged, however. Christ’s face was blown out.” This incident was well covered in the national, regional, and local newspapers.

Note: later investigation revealed that at least five members of the United Klans of America planted the bomb inside the church.","INAP","Frank Sikora, Until Justice Rolls Down: The Birmingham Church Bombing Case. 1991","INAP",NA,"16th Street Baptist Church in Birmingham","0","None reported",NA,"No indication of being a stranger or marginalized",NA,"Original Tolnay-Beck inventory covers the years 1882-1930","None reported","0","Augusta (GA) Chronicle 9/15/1963, p. 1A (GenealogyBank.com)","Yes","INAP","lynching","1960"
"23",23,"Lynching",1963,9,15,"Cynthia Wesley",NA,NA,NA,"2 of 4","Black","Female","14",1073,"Jefferson","AL",1073,"Jefferson","AL","Bomb blast","Race hatred","10","5",1,"Yes","INAP","INAP","INAP","INAP","Chicago Tribune inventory covers the years 1882-1918","Ku klux","05/13/2011",NA,"Williams inventory covers the years 1882-1950","EJI inventory covers the years 1877-1950",0,"INAP","04/29/2020 10:19:36","INAP",NA,"INAP",NA,"From the Chronicle, “Birmingham, Ala. (UPI)—A bomb hurled from a passing car blasted a crowded Negro church Sunday, killing four girls in their Sunday school classes and triggering outbreaks of violence that left two more persons dead in the streets. ... The bomb that killed Denise McNair, 11, Carol Robertson, 14, Cynthia Wesley, 14, and Addie Mae Collins, 10. The blast left only one of the church’s stained glass windows in its frame—a window depicting Christ leading a group of little children. The window was not undamaged, however. Christ’s face was blown out.” This incident was well covered in the national, regional, and local newspapers.

Note: later investigation revealed that at least five members of the United Klans of America planted the bomb inside the church.","INAP","Frank Sikora, Until Justice Rolls Down: The Birmingham Church Bombing Case. 1991","INAP",NA,"16th Street Baptist Church in Birmingham","0","None reported",NA,"No indication of being a stranger or marginalized",NA,"Original Tolnay-Beck inventory covers the years 1882-1930","None reported","0","Augusta (GA) Chronicle 9/15/1963, p. 1A (GenealogyBank.com)","Yes","INAP","lynching","1960"
"24",24,"Lynching",1963,9,15,"Denise McNair",NA,NA,NA,"1 of 4","Black","Female","11",1073,"Jefferson","AL",1073,"Jefferson","AL","Bomb blast","Race hatred","10","5",1,"Yes","INAP","INAP","INAP","INAP","Chicago Tribune inventory covers the years 1882-1918","Ku klux","05/13/2011",NA,"Williams inventory covers the years 1882-1950","EJI inventory covers the years 1877-1950",0,"INAP","04/29/2020 10:19:36","INAP",NA,"INAP",NA,"From the Chronicle, “Birmingham, Ala. (UPI)—A bomb hurled from a passing car blasted a crowded Negro church Sunday, killing four girls in their Sunday school classes and triggering outbreaks of violence that left two more persons dead in the streets. ... The bomb that killed Denise McNair, 11, Carol Robertson, 14, Cynthia Wesley, 14, and Addie Mae Collins, 10. The blast left only one of the church’s stained glass windows in its frame—a window depicting Christ leading a group of little children. The window was not undamaged, however. Christ’s face was blown out.” This incident was well covered in the national, regional, and local newspapers.

Note: later investigation revealed that at least five members of the United Klans of America planted the bomb inside the church.","INAP","Frank Sikora, Until Justice Rolls Down: The Birmingham Church Bombing Case. 1991","INAP",NA,"16th Street Baptist Church in Birmingham","0","None reported",NA,"No indication of being a stranger or marginalized",NA,"Original Tolnay-Beck inventory covers the years 1882-1930","None reported","0","Augusta (GA) Chronicle 9/15/1963, p. 1A (GenealogyBank.com)","Yes","INAP","lynching","1960"
"25",25,"Probable lynching",1961,7,15,"Robert Freeman",NA,NA,NA,"1 of 1","Black","Male","37",37047,"Columbus","NC",37047,"Columbus","NC","Stabbed","Sitting outside a white woman’s home","3","4",1,NA,"INAP","INAP","INAP","INAP","Chicago Tribune inventory covers the years 1882-1918",NA,"05/13/2011",NA,"Robert Freeman, 7/15/1915, Whiteville, Columbus Co., Negro, Found sitting on back steps of the home of a white woman","EJI inventory covers the years 1877-1950",0,"INAP","04/29/2020 10:19:36","INAP","Not in NAACP inventory","Not in Newkirk inventory",NA,"From the Star, “Whiteville, N. C., July 18 (AP).—Four Columbus County white youths are being held on open charges, authorities reported yesterday, in connection with the fatal stabbing of a Negro man. Coroner J. B. Long said they are held in connection with the death of Robert Freeman, 37. His body was found near Lake Waccamaw Sunday [16th] morning by a passing motorist. Coroner Long said that Houston Odell Duncan, 18, of Wannish, admitted stabbing Mr. Freeman twice with a pocket knife. Duncan is being held without bond, the coroner said. The other youths, related under $2,000 bond, were identified as David Martin, 18, of Wananish; Edward Gause 17 and Olin Ward, 18, both of Route 1, Hallsboro. Coroner Long and Charles Smith one of the investigating officers, quoted the boys as sayhng they found Mr. Freeman sitting on the back doorstep of an unidentified white woman’s home. The officers said they gave that as the reason for the slaying.” The 7/28 News reports that the four white boys “... admitted forcing Freeman into their auto after finding him sitting on the rear steps of the home of Victoria Ward, a white woman. After driving several miles into the country, Smith said, Duncan stabbed the Negro twice, then pulled him from the car and left him dying on the highway.” The 11/29 News states that the four boys were convicted: Houston Duncan sentenced to 15-20 years in prison; Edward Mack Gause, 4 to 6 years; David ‘Bunky’ Martin and Olin Ward, sentenced to 18 months in prison.

Note: the entry in the Williams’ inventory has the wrong year, 1961 not 1915.","INAP",NA,"INAP",NA,"Near Whiteville","0","None reported",NA,"No indication of being a stranger or marginalized",NA,"Original Tolnay-Beck inventory covers the years 1882-1930","None reported","0","Washinton (DC) Evening Star 7/18/1961, p. 8 (GenealogyBank.com)
Greensboro Daily News 7/28/1961, p. 16 (GenealogyBank.com)
Greensboro Daily News 11/29/1961, p. 4 (GenealogyBank.com)","Yes","INAP","probable lynching","1960"
"26",26,"Lynching",1959,4,25,"Charles Mack Parker",NA,NA,NA,"1 of 1","Black","Male","23",28109,"Pearl River","MS",28109,"Pearl River","MS","Riddled with bullets","Raping a young white woman","1","15-20",2,NA,"INAP","INAP","INAP","INAP","Chicago Tribune inventory covers the years 1882-1918","Masked","05/13/2011","Yes","Charles Mack Parker, 4/25/1959, Poplarville, Pearl River Co., Negro, Accused of raping a white woman","EJI inventory covers the years 1877-1950",1,"INAP","04/29/2020 10:23:05","INAP",NA,"INAP",NA,"According to the Intelligencer, a masked mob took Parker from the Pearl River county jail—it’s feared that he was lynched. He was accused of raping a young white woman, near Lumberton, while her 4 year-old daughter watched. The News states that a mob of 15-20 men dragged Parker from his jail cell. The Tribune reports on the jury selection in the Federal case of the killing of Parker on 25 April—he was taken from the Pearl River Co. jail, beaten, riddled with bullets, and dumped into the Pearl River.","Mack Charles Parker, 4/25/1959, Poplarville, Black Male, Unreported offense","Howard  Smead, Blood Justice: The Lynching of Mack Charles Parker, 1986; Julius E. Thompson, Lynchings in Mississippi: A History, 1865-1965, 2007, p. 147: 1959, 25 April, Mack Charles Parker, Black, Popularville","INAP",NA,"Poplarville","3","Dumped into river",NA,"No indication of being a stranger or marginalized. Truck driver.","After midnight","Original Tolnay-Beck inventory covers the years 1882-1930","Beaten","1","Edwardsville (IL) Intelligencer 4/25/1959, p. 2 (Ancestry.com)
Florence (SC) Morning News 4/26/1959, p. 1, 2-A (Ancestry.com)
Coshocton (OH) Tribune 1/5/1960, p. 2 (Ancestry.com)","Yes","INAP","lynching","1950"
