Newspapers|LCCN|OCLC|ISSN|State|County|City|Geo Location|Browse Digitized Issues|Number of Issues|First Issue|Last Issue|Essay Available|Languages|Ethnicity
The Savannah Morning News (Savannah, Ga.) 1900-Current|sn89053684|20030333|1047-028x|Georgia|Chatham|Savannah|32.0806102, -81.0900966|https://www.loc.gov/item/sn89053684/?st=calendar|1669|1900-06-08|1904-12-31|True|English|
The Savannah Tribune (Savannah [Ga.]; Savannah, Ga.) 1876-1960|sn84020323|8107226|2768-6604|Georgia|Chatham|Savannah|32.0806102, -81.0900966|https://www.loc.gov/item/sn84020323/?st=calendar|2792|1876-07-29|1943-10-07|True|English|African American
Savannah Weekly Echo (Savannah, Ga.) 1879-1884|sn83016195|9618146|2833-6801|Georgia|Chatham|Savannah|32.0806102, -81.0900966|https://www.loc.gov/item/sn83016195/?st=calendar|5|1883-08-26|1884-02-10|True|English|African American
Scandinavian American (Seattle, Wash.) 1945-1958|sn87093436|1641936|2831-624x|Washington|King|Seattle|47.603229, -122.33028|https://www.loc.gov/item/sn87093436/?st=calendar|143|1945-01-01|1956-12-01|True|English|Scandinavian
Scott County Kicker (Benton, Mo.) 1901-1917|sn89066234|19076832|2166-8132|Missouri|Scott|Benton|38.0780434, -91.3783423|https://www.loc.gov/item/sn89066234/?st=calendar|762|1901-11-09|1917-04-07|True|English|
The Scranton Chronicle (Scranton, Miss.) 1897-19??|sn87065600|16307808|2766-0737|Mississippi|Jackson|Pascagoula, Scranton|30.31575, -89.24754|https://www.loc.gov/item/sn87065600/?st=calendar|196|1900-09-08|1904-08-27|True|English|
The Scranton Tribune (Scranton, Pa.) 1891-1910|sn84026355|10437632|2151-4038|Pennsylvania|Lackawanna|Scranton|41.409119, -75.6623889|https://www.loc.gov/item/sn84026355/?st=calendar|2815|1894-01-01|1902-12-31|True|English|
Scranton Wochenblatt (Scranton, Pa.) 1865-1918|sn86053936|14871523|2373-4728|Pennsylvania|Lackawanna, Luzerne|Scranton|41.409119, -75.6623889|https://www.loc.gov/item/sn86053936/?st=calendar|2277|1869-01-07|1918-08-29|True|English, German|German
The Sea Coast Echo (Bay Saint Louis, Miss.) 1892-Current|sn86074033|14470132|2576-7976|Mississippi|Hancock|Bay Saint Louis|30.3163818, -89.3478647|https://www.loc.gov/item/sn86074033/?st=calendar|1455|1892-01-09|1922-12-23|True|English|
The Searchlight (Culbertson, Mont.) 1902-Current|sn85053089|11887583|2332-9688|Montana|Roosevelt|Culbertson|48.144346, -104.516829|https://www.loc.gov/item/sn85053089/?st=calendar|209|1909-01-01|1912-12-27|True|English|
The Searcy News (Searcy, Ark.) 1908-1929|sn91050163|24496739||Arkansas|White|Searcy|35.250783, -91.736336|https://www.loc.gov/item/sn91050163/?st=calendar|55|1908-06-27|1929-03-21||English|
Seattle Daily Post-Intelligencer (Seattle, W.T. [Wash.]) 1881-1888|sn83045611|9563139|2379-7274|Washington|King|Seattle|47.603229, -122.33028|https://www.loc.gov/item/sn83045611/?st=calendar|1887|1882-04-05|1889-12-09|True|English|
The Seattle Enterprise (Seattle, Wash.) 1920-192?|sn87093376|17273985|2831-5979|Washington|King|Seattle|47.603229, -122.33028|https://www.loc.gov/item/sn87093376/?st=calendar|1|1921-05-14|1921-05-14|True|English|African American
The Seattle Post-Intelligencer (Seattle, Wash. Terr. [Wash.]) 1888-1914|sn83045604|9563195|2379-7304|Washington|King|Seattle|47.603229, -122.33028|https://www.loc.gov/item/sn83045604/?st=calendar|4580|1888-05-11|1900-12-31|True|English|
The Seattle Republican (Seattle, Wash.) 1???-1915|sn84025811|10328970|2157-3271|Washington|King|Seattle|47.603229, -122.33028|https://www.loc.gov/item/sn84025811/?st=calendar|690|1900-01-19|1913-05-02|True|English|African American
The Seattle Star (Seattle, Wash.) 1899-1947|sn87093407|17285351|2159-5577|Washington|King|Seattle|47.603229, -122.33028|https://www.loc.gov/item/sn87093407/?st=calendar|8077|1899-02-27|1925-12-09|True|English|
The Sedalia Times (Sedalia, Mo.) 1894-1905|sn84020293|10561127|2997-8483|Missouri|Pettis|Sedalia|38.704529, -93.236542|https://www.loc.gov/item/sn84020293/?st=calendar|92|1901-08-31|1905-02-04|True|English|African American
The Sedalia Weekly Bazoo (Sedalia, Mo.) 187?-1904|sn90061066|20979963|2163-7369|Missouri|Pettis|Sedalia|38.704529, -93.236542|https://www.loc.gov/item/sn90061066/?st=calendar|740|1877-06-05|1893-12-26|True|English|
Sedalia Weekly Conservator (Sedalia, Mo.) 1903-1909|sn89067598|20842253|2166-8264|Missouri|Pettis|Sedalia|38.704529, -93.236542|https://www.loc.gov/item/sn89067598/?st=calendar|238|1903-05-08|1908-09-21|True|English|African American
The Seldovia Herald (Seldovia, Alaska) 1930-1933|sn95060105|34047008|3066-1064|Alaska||Seldovia|59.4385739, -151.7124829|https://www.loc.gov/item/sn95060105/?st=calendar|126|1930-01-16|1933-06-17||English|
Semi-Weekly Bourbon News (Paris, Bourbon County, Kentucky.) 1883-1895|sn86069872|13528428|2157-5061|Kentucky|Bourbon|Paris|38.20954, -84.25226|https://www.loc.gov/item/sn86069872/?st=calendar|42|1883-08-03|1883-12-25|True|English|
Semi-Weekly Camden Journal (Camden, South-Carolina) 1851-1852|sn93067976|30786876|2379-6278|South Carolina|Kershaw|Camden|34.251612, -80.607592|https://www.loc.gov/item/sn93067976/?st=calendar|97|1851-01-31|1852-01-20|True|English|
The Semi-Weekly Fisherman & Farmer (Edenton, N.C.) 1886-1887|sn91068083|24130029|2376-0184|North Carolina|Chowan|Edenton|36.06093, -76.608265|https://www.loc.gov/item/sn91068083/?st=calendar|32|1887-08-23|1887-12-09|True|English|
Semi-Weekly Herald (Durango, Colo.) 1907-1917|sn91052314|23244139|2835-737x|Colorado|La Plata|Durango|37.28225, -107.877762|https://www.loc.gov/item/sn91052314/?st=calendar|1040|1907-09-30|1917-11-15|True|English|
Semi-Weekly Independent (Plymouth, Marshall County, Ind.) 1895-1897|sn87056250|15802532|2328-7977|Indiana|Marshall|Plymouth|41.343543, -86.309537|https://www.loc.gov/item/sn87056250/?st=calendar|42|1895-12-04|1896-04-25|True|English|
Semi-Weekly Interior Journal (Stanford, Ky.) 1881-1905|sn85052020|11779804|1941-3009|Kentucky|Lincoln|Stanford|37.529543, -84.660091|https://www.loc.gov/item/sn85052020/?st=calendar|2414|1881-12-20|1905-04-04|True|English|
The Semi-Weekly Leader (Brookhaven, Miss.) 1905-1941|sn86074065|14867376|2688-7835|Mississippi|Lincoln|Brookhaven|31.57913, -90.440702|https://www.loc.gov/item/sn86074065/?st=calendar|1256|1905-11-22|1922-12-30|True|English|
Semi-Weekly Louisianian (New Orleans, La.) 1871-1872|sn83016631|9957091|2326-6309|Louisiana|Orleans|New Orleans|29.9517634, -90.0746168|https://www.loc.gov/item/sn83016631/?st=calendar|80|1871-05-11|1872-02-25|True|English|African American
The Semi-Weekly Madison County Democrat (London, Ohio) 1923-19??|sn88077520|18102233|2771-0203|Ohio|Madison|London|39.889837, -83.440621|https://www.loc.gov/item/sn88077520/?st=calendar|54|1932-06-03|1933-04-28|True|English|
The Semi-Weekly Messenger (Wilmington, N.C.) 1897-1908|sn91068367|24486679|2376-0257|North Carolina|New Hanover|Wilmington|34.2367, -77.946197|https://www.loc.gov/item/sn91068367/?st=calendar|1145|1897-03-04|1908-04-07||English|
The Semi-Weekly Miner (Butte, Mont.) 1882-1886|sn84036033|10500233|2470-4210|Montana|Silver Bow|Butte|46.01284, -112.535583|https://www.loc.gov/item/sn84036033/?st=calendar|443|1882-01-11|1886-04-14|True|English|
The Semi-Weekly Mountain Democrat (Placerville, El Dorado Co. [Calif.]) 1860-1860|sn87067106|15669770|2693-2601|California|El Dorado|Placerville|38.729652, -120.799147|https://www.loc.gov/item/sn87067106/?st=calendar|38|1860-08-22|1860-12-29|True|English|
The Semi-Weekly Natchitoches Times (Natchitoches, La.) 1865-1868|sn86053712|14223937|2163-4823|Louisiana|Natchitoches|Natchitoches|31.753482, -93.087377|https://www.loc.gov/item/sn86053712/?st=calendar|131|1866-01-03|1867-06-12|True|English, French|
The Semi-Weekly News (Mount Holly, Burlington Co., N.J.) 1879-1882|sn85035561|12167028|2835-4265|New Jersey|Burlington|Mount Holly|39.9930827, -74.7879174|https://www.loc.gov/item/sn85035561/?st=calendar|60|1881-07-04|1882-01-26|True|English|
Semi-Weekly News (Shreveport [La.]) 1865-1865|sn88064481|12877947|2163-6524|Louisiana|Caddo|Shreveport|32.51425, -93.7477715|https://www.loc.gov/item/sn88064481/?st=calendar|21|1865-03-11|1865-05-18|True|English|
Semi-Weekly North-Carolina Standard (Raleigh, N.C.) 1852-1853|sn84024518|10897278|2372-6679|North Carolina|Wake|Raleigh|35.7813033, -78.6416795|https://www.loc.gov/item/sn84024518/?st=calendar|161|1852-01-07|1853-07-27|True|English|
Semi-Weekly Register (Brookings, Brookings Co., S.D.) 1894-1898|sn2001063545|47484204|2769-8122|South Dakota|Brookings|Brookings|44.307945, -96.798558|https://www.loc.gov/item/sn2001063545/?st=calendar|429|1894-10-24|1898-12-09|True|English|
The Semi-Weekly Republican (St. Francisville, La.) 1872-1872|sn89059463|20785456|2377-9225|Louisiana|West Feliciana|Saint Francisville|30.786451, -91.381532|https://www.loc.gov/item/sn89059463/?st=calendar|61|1872-03-08|1872-11-02|True|English|
The Semi-Weekly Shreveport News (Shreveport [La.]) 1862-1864|sn86079090|12873093|2163-4920|Louisiana|Caddo|Shreveport|32.51425, -93.7477715|https://www.loc.gov/item/sn86079090/?st=calendar|209|1862-01-28|1864-02-26|True|English|
Semi-Weekly South Kentuckian (Hopkinsville, Ky.) 1883-1889|sn86069394|14115606|2332-5240|Kentucky|Christian|Hopkinsville|36.865586, -87.488906|https://www.loc.gov/item/sn86069394/?st=calendar|539|1883-11-09|1889-01-08|True|English|
Semi-Weekly Standard (Raleigh, N.C.) 1853-18??|sn83045450|9479345|2372-3017|North Carolina|Wake|Raleigh|35.7813033, -78.6416795|https://www.loc.gov/item/sn83045450/?st=calendar|1175|1853-07-30|1865-03-24|True|English|
The Semi-Weekly Tribune (Great Falls, Mont.) 1890-1891|sn86075241|13782476|2329-6550|Montana|Cascade|Great Falls|47.506453, -111.306019|https://www.loc.gov/item/sn86075241/?st=calendar|89|1890-04-12|1891-02-14|True|English|
Semi-Weekly Windham County Reformer (Brattleboro, Vt.) 1897-1901|sn98069145|40613820|2473-4187|Vermont|Windham|Brattleboro|42.8458702, -72.5630241|https://www.loc.gov/item/sn98069145/?st=calendar|32|1901-07-02|1901-10-18|True|English|
Semi=weekly Graphic (Pine Bluff, Ark.) 1895-1902|sn89051163|19596457|2771-8824|Arkansas|Jefferson|Pine Bluff|34.221586, -92.002005|https://www.loc.gov/item/sn89051163/?st=calendar|403|1895-10-09|1899-11-25|True|English|
The Sentinel (Trenton, N.J.) 1880-1882|sn84026314|10388917|2996-5519|New Jersey|Mercer|Trenton|40.2205724, -74.7597087|https://www.loc.gov/item/sn84026314/?st=calendar|118|1880-06-26|1882-11-13|True|English|African American
Sentinel and Advertiser (Hope Valley, R.I.) 1883-1894|sn85038101|11728559||Rhode Island|Washington|Hope Valley|41.5109788, -71.7114531|https://www.loc.gov/item/sn85038101/?st=calendar|28|1885-07-02|1893-09-21||English|
Sentinel of the Valley (Woodstock, Va) 1841-1848|sn95079484|31869655|2836-7707|Virginia|Shenandoah|Woodstock|38.868745, -78.516469|https://www.loc.gov/item/sn95079484/?st=calendar|213|1841-12-02|1848-06-15|True|English|
The Sentinel-Journal (Pickens, S.C.) 1906-1909|2012218672|794121349, n794121349|2333-1801|South Carolina|Pickens|Pickens|34.881214, -82.706178|https://www.loc.gov/item/2012218672/?st=calendar|105|1906-11-03|1909-02-11|True|English|
The Sentinel=record (Hot Springs, Ark.) 1900-Current|sn89051285|19988226|2693-1044|Arkansas|Garland|Hot Springs|34.502785, -93.055659|https://www.loc.gov/item/sn89051285/?st=calendar|1573|1909-09-01|1919-05-15|True|English|
The Sequachee News (Sequachee [Sequatchie], Tenn.) 189?-1896|sn89058249|19175540|2376-6573|Tennessee|Marion|Sequatchie|35.106591, -85.6006605|https://www.loc.gov/item/sn89058249/?st=calendar|52|1895-07-11|1896-07-02|True|English|
Sequachee Valley News (Sequachee [Sequatchie], Tenn.) 1896-1952|sn89058250|19175696|2376-6611|Tennessee|Marion|Sequatchie|35.106591, -85.6006605|https://www.loc.gov/item/sn89058250/?st=calendar|1268|1896-07-09|1920-12-30|True|English|
Seward Daily Gateway (Seward, Alaska) 1923-1933|sn87062169|8603701|2993-771x|Alaska|Seward|Seward|60.1000798, -149.4421227|https://www.loc.gov/item/sn87062169/?st=calendar|3237|1923-02-10|1933-09-16|True|English|
Seward Daily Gateway (Seward, Alaska) 1905-1914|2017218598|986789018|2692-6679|Alaska||Seward|60.1000798, -149.4421227|https://www.loc.gov/item/2017218598/?st=calendar|331|1905-11-23|1914-07-21|True|English|
The Seward Gateway (Seward, Alaska) 1914-1917|sn2008058232|275163299|2692-6725|Alaska|Seward|Seward|60.1000798, -149.4421227|https://www.loc.gov/item/sn2008058232/?st=calendar|763|1914-07-22|1917-01-31|True|English|
Seward Gateway (Seward, Alaska) 1904-1905|sn84025749|8603841|2771-0483|Alaska||Seward|60.1000798, -149.4421227|https://www.loc.gov/item/sn84025749/?st=calendar|19|1904-08-19|1905-11-18|True|English|
The Seward Gateway (Seward, Alaska) 1920-1923|sn87062168|15635193|2692-6768|Alaska|Seward|Seward|60.1000798, -149.4421227|https://www.loc.gov/item/sn87062168/?st=calendar|427|1920-11-29|1923-02-09|True|English|
Seward Gateway (Seward, Alaska) 1933-1943|sn87062170|15635455|2993-7779|Alaska||Seward|60.1000798, -149.4421227|https://www.loc.gov/item/sn87062170/?st=calendar|19|1933-09-19|1933-10-31|True|English|
The Seward Gateway and the Alaska Evening Post (Seward, Alaska) 1917-1918|sn87062015|15073528|2692-6741|Alaska|Seward|Seward|60.1000798, -149.4421227|https://www.loc.gov/item/sn87062015/?st=calendar|290|1917-02-01|1918-01-17|True|English|
The Seward Gateway Daily Edition, and the Alaska Weekly Post (Seward, Alaska) 1918-1920|sn87062016|15073596|2641-9688|Alaska|Seward|Seward|60.1000798, -149.4421227|https://www.loc.gov/item/sn87062016/?st=calendar|830|1918-01-18|1920-11-27|True|English|
The Seward Polaris (Seward, Alaska) 1944-1947|sn98059776|39325955||Alaska||Seward|60.1000798, -149.4421227|https://www.loc.gov/item/sn98059776/?st=calendar|140|1945-01-24|1947-06-25||English|
The Seward Polaris & Kenai Peninsula-Aleutian Chain News (Seward, Alaska) 1947-1948|sn98059777|39325958|2994-2853|Alaska||Seward|60.1000798, -149.4421227|https://www.loc.gov/item/sn98059777/?st=calendar|125|1947-07-02|1948-09-22||English|
Seward Seaport Record (Seward, Alaska) 1948-195?|sn98059778|39325959|2993-9003|Alaska||Seward|60.1000798, -149.4421227|https://www.loc.gov/item/sn98059778/?st=calendar|483|1948-09-25|1955-01-28||English|
Seward Weekly Gateway (Seward, Alaska) 1905-1914|sn98059811|34249030|2692-6784|Alaska||Seward|60.1000798, -149.4421227|https://www.loc.gov/item/sn98059811/?st=calendar|134|1905-11-25|1908-06-27|True|English|
Shannock Weekly Sentinel (Shannock, Washington Co., R.I.) 1882-1883|sn92064234|27097850||Rhode Island|Washington|Shannock|41.450493, -71.644854|https://www.loc.gov/item/sn92064234/?st=calendar|17|1883-01-05|1883-04-27||English|
Sharp County Record (Evening Shade, Ark.) 1877-1976|sn87091045|16881817|2995-6137|Arkansas|Sharp|Ash Flat, Cave City, Evening Shade|33.573453, -93.612678|https://www.loc.gov/item/sn87091045/?st=calendar|1526|1877-07-06|1919-05-23|True|English|
The Shasta Courier (Shasta, Calif.) 1852-1872|sn82015099|8803777|2642-3731|California|Shasta|Shasta|41.40932, -122.19501|https://www.loc.gov/item/sn82015099/?st=calendar|862|1853-03-12|1872-12-14|True|English|
Shenandoah Herald (Woodstock, Va.) 1865-1974|sn85026941|12777562|2333-7788|Virginia|Shenandoah|Woodstock|38.868745, -78.516469|https://www.loc.gov/item/sn85026941/?st=calendar|2975|1866-06-28|1925-12-25|True|English|
Shepherdstown Register (Shepherdstown, Va. [W. Va.]) 1849-1955|sn84026824|10691893|2576-5744|West Virginia|Jefferson|Shepherdstown|39.430374, -77.804289|https://www.loc.gov/item/sn84026824/?st=calendar|3354|1849-12-04|1922-12-21|True|English|
Sheridan County Democrat and Gordon Journal (Gordon, Sheridan County, Neb.) 1917-1917|2023271002|1378168070||Nebraska|Sheridan|Gordon|42.8078399, -102.2032785|https://www.loc.gov/item/2023271002/?st=calendar|1|1917-04-05|1917-04-05||English|
Shiner Gazette (Shiner, Tex.) 1893-Current|sn86090270|14868691|2151-5247|Texas|Lavaca|Shiner|29.428956, -97.17067|https://www.loc.gov/item/sn86090270/?st=calendar|748|1893-07-20|1911-12-14|True|English|
Shoshone Journal (Shoshone, Idaho) 1884-1931|sn86063039|13035166||Idaho|Lincoln, Logan, Alturas|Shoshone|42.93591, -114.406394|https://www.loc.gov/item/sn86063039/?st=calendar|1285|1896-02-07|1924-03-28|True|English|
The Shoshoni Capital (Shoshoni, Wyo.) 190?-190?|sn92067110|26075311||Wyoming|Fremont|Shoshoni|43.23558, -108.110518|https://www.loc.gov/item/sn92067110/?st=calendar|3|1906-02-10|1906-03-31||English|
Shreveport Daily News (Shreveport, La.) 1861-1861|sn88064478|12877880|2163-6567|Louisiana|Caddo|Shreveport|32.51425, -93.7477715|https://www.loc.gov/item/sn88064478/?st=calendar|157|1861-04-13|1861-11-06|True|English|
Shreveport News (Shreveport [La.]) 1864-1865|sn83016485|9865097|2163-7032|Louisiana|Caddo|Shreveport|32.51425, -93.7477715|https://www.loc.gov/item/sn83016485/?st=calendar|74|1864-03-08|1865-06-10|True|English|
Shreveport Semi-Weekly News (Shreveport [La.]) 1861-1862|sn88064479|18120086|2163-6575|Louisiana|Caddo|Shreveport|32.51425, -93.7477715|https://www.loc.gov/item/sn88064479/?st=calendar|25|1861-11-11|1862-01-24|True|English|
Shreveport Semi-Weekly News (Shreveport, La.) 1865-18??|sn83016484|9865025|2163-7016|Louisiana|Caddo|Shreveport|32.51425, -93.7477715|https://www.loc.gov/item/sn83016484/?st=calendar|98|1865-06-13|1866-06-26|True|English|
The Shreveport Weekly News (Shreveport, La.) 1861-1861|sn88064477|12877828|2163-6516|Louisiana|Caddo|Shreveport|32.51425, -93.7477715|https://www.loc.gov/item/sn88064477/?st=calendar|33|1861-04-22|1861-11-04|True|English|
Shreveport Weekly News (Shreveport, La.) 1862-1863|sn88064480|18120126|2163-6583|Louisiana|Caddo|Shreveport|32.51425, -93.7477715|https://www.loc.gov/item/sn88064480/?st=calendar|19|1863-02-09|1865-03-25|True|English|
Shreveport Weekly News (Shreveport, La.) 1866-18??|sn88064482|12878233|2163-6613|Louisiana|Caddo|Shreveport|32.51425, -93.7477715|https://www.loc.gov/item/sn88064482/?st=calendar|7|1866-03-25|1866-04-29|True|English|
The Sidney Herald (Sidney, Mont.) 1908-19??|sn83004278|9697986|0738-8454|Montana|Richland|Sidney|47.7114797, -104.159663|https://www.loc.gov/item/sn83004278/?st=calendar|469|1955-01-06|1963-12-25|True|English|
Siebenbürgisch-Amerikanisches Volksblatt (Cleveland, Ohio) 1917-1971|sn83035274|9659075|2689-0658|Ohio|Cuyahoga, Wayne|Cleveland, Detroit|42.3329407, -83.0478365|https://www.loc.gov/item/sn83035274/?st=calendar|770|1939-07-06|1954-04-29|True|English, German|German
Siebenbürgisch-Amerikanisches Volksblatt (Cleveland, Ohio) 1917-1971|sn83035274|9659075|2689-0658|Michigan|Cuyahoga, Wayne|Cleveland, Detroit|42.3329407, -83.0478365|https://www.loc.gov/item/sn83035274/?st=calendar|770|1939-07-06|1954-04-29|True|English, German|German
The Sierra Citizen (Downieville, Calif.) 1854-185?|sn86058097|14197693|2642-5300|California|Sierra|Downieville|39.560381, -120.828088|https://www.loc.gov/item/sn86058097/?st=calendar|52|1854-02-11|1855-02-03|True|English|
The Sierra Citizen (Downieville, Sierra County, Calif.) 185?-1???|sn87067105|15580864|2642-5343|California|Sierra|Downieville|39.560381, -120.828088|https://www.loc.gov/item/sn87067105/?st=calendar|4|1859-03-19|1860-02-18|True|English|
Sierra County Advocate (Kingston, N.M.) 1884-1960|sn94057006|30151809|2572-5718|New Mexico|Sierra|Truth or Consequences, Hillsboro, Kingston|32.916811, -107.708024|https://www.loc.gov/item/sn94057006/?st=calendar|1611|1885-01-10|1917-12-28|True|English|
The Siftings Herald (Arkadelphia, Ark.) 19??-1929|sn91050062|23816877||Arkansas|Clark|Arkadelphia|34.120959, -93.053523|https://www.loc.gov/item/sn91050062/?st=calendar|947|1908-12-17|1928-12-27||English|
Signal-Copiahan (Hazlehurst, Copiah County, Miss.) 1885-1888|sn87065177|15248533|2765-8422|Mississippi|Copiah|Hazlehurst|31.861796, -90.39448|https://www.loc.gov/item/sn87065177/?st=calendar|52|1885-12-03|1887-12-15|True|English|
The Silver Blade (Rathdrum, Idaho) 1895-1903|sn88056092|18736249|2575-0674|Idaho|Kootenai|Rathdrum|47.806361, -116.893975|https://www.loc.gov/item/sn88056092/?st=calendar|223|1895-06-01|1903-04-24|True|English|
Silver City Nugget (Silver City, Idaho) 1901-1904|2016269553|890504452|2637-7284|Idaho|Owyhee|Silver City|43.016504, -116.732193|https://www.loc.gov/item/2016269553/?st=calendar|209|1901-01-04|1904-12-30|True|English|
The Silver Lance (Crystal, Colo.) 1892-1899|sn90051407|11085941|2693-4582|Colorado|Gunnison|Crystal|39.059821, -107.103396|https://www.loc.gov/item/sn90051407/?st=calendar|102|1897-07-16|1899-10-20|True|English|
The Silver Messenger (Challis, Idaho) 1890-1912|sn88056158|18888192|2637-7306|Idaho|Custer|Challis|44.5066629, -114.2235271|https://www.loc.gov/item/sn88056158/?st=calendar|920|1894-07-31|1912-03-12|True|English|
The Silver Star (Dolores, Colo.) 1897-1901|sn90051344|21617219|2835-6624|Colorado|Montezuma|Dolores|37.4733298, -108.5030616|https://www.loc.gov/item/sn90051344/?st=calendar|208|1897-04-08|1901-03-29|True|English|
The Silver State News (Winnemucca, Nev.) 1907-1909|sn86076356|14066969|2766-4937|Nevada|Humboldt|Winnemucca|40.9723383, -117.7279389|https://www.loc.gov/item/sn86076356/?st=calendar|228|1907-06-20|1909-09-07|True|English|
The Silver State (Unionville, Nev.) 1870-1903|sn84022060|10270444|2766-4880|Nevada|Humboldt|Unionville, Winnemucca|40.9723383, -117.7279389|https://www.loc.gov/item/sn84022060/?st=calendar|8581|1875-02-15|1903-04-29|True|English|
The Silver State (Winnemucca, Nev.) 1909-1925|sn86076247|13789007|2766-5356|Nevada|Humboldt|Winnemucca|40.9723383, -117.7279389|https://www.loc.gov/item/sn86076247/?st=calendar|2017|1909-09-11|1923-12-29|True|English|
Sioux City Register (Sioux City, Iowa) 1858-1871|sn84031042|1765583|2577-7963|Iowa|Woodbury|Sioux City|42.496323, -96.406436|https://www.loc.gov/item/sn84031042/?st=calendar|447|1858-07-29|1868-01-11|True|English|
The Sioux County Journal (Harrison, Nebraska) 1888-1899|2018270201|1035159567|2766-3094|Nebraska|Sioux|Harrison|40.98864, -99.368557|https://www.loc.gov/item/2018270201/?st=calendar|543|1888-09-20|1899-07-20|True|English|
Sioux County Pioneer (Fort Yates, Sioux County, N.D.) 1914-1929|sn88076639|19491165|2475-9759|North Dakota|Sioux|Fort Yates|46.0864499, -100.6307758|https://www.loc.gov/item/sn88076639/?st=calendar|378|1914-09-24|1922-12-28|True|English|
Sisseton Posten (Effington, Sud Dakota [S.D.]) 1902-19??|sn2001063175|47090209|2769-7983|South Dakota|Roberts|Effington, Sisseton|45.6601072, -97.0509155|https://www.loc.gov/item/sn2001063175/?st=calendar|487|1902-11-07|1912-06-06|True|Norwegian, English|Norwegian
The Sisseton Weekly Standard (Sisseton, Roberts County, S.D.) 1892-1929|sn99062049|43474045|2475-3440|South Dakota|Roberts|Sisseton|45.6601072, -97.0509155|https://www.loc.gov/item/sn99062049/?st=calendar|758|1904-12-23|1921-11-11|True|English|
Sistersville Daily Oil Review (Sistersville, W. Va.) 1902-1905|sn86092356|13291281|2576-6244|West Virginia|Tyler|Sistersville|39.563543, -80.995286|https://www.loc.gov/item/sn86092356/?st=calendar|836|1902-08-06|1905-04-29|True|English|
Sistersville Daily Review (Sistersville, W. Va.) 1905-1907|sn86092357|13291289|2640-3730|West Virginia|Tyler|Sistersville|39.563543, -80.995286|https://www.loc.gov/item/sn86092357/?st=calendar|51|1905-05-01|1905-06-30|True|English|
Sistersville Oil Review (Sistersville, W. Va.) 1896-1901|sn86092351|13291230|2640-3773|West Virginia|Tyler|Sistersville|39.563543, -80.995286|https://www.loc.gov/item/sn86092351/?st=calendar|45|1898-01-12|1898-12-28|True|English|
Skaffaren (Red Wing, Minn.) 1878-1882|sn90059653|1764913|2640-611x|Minnesota|Goodhue, Ramsey|Red Wing|44.5666711, -92.5342582|https://www.loc.gov/item/sn90059653/?st=calendar|143|1878-12-01|1882-04-26|True|Swedish|Swedish
Skaffaren (St. Paul, Minn. ; Minneapolis, Minn.) 1885-1895|sn90059655|21922162|2640-6209|Minnesota|Ramsey, Hennepin|Saint Paul, Minneapolis|44.9774859, -93.2643669|https://www.loc.gov/item/sn90059655/?st=calendar|528|1885-03-18|1895-10-23|True|Swedish|Swedish
Skaffaren Och Minnesota Stats Tidning (St. Paul, Minn. ; Minneapolis, Minn.) 1882-1885|sn90059654|21922143|2640-6160|Minnesota|Ramsey, Hennepin|Saint Paul, Minneapolis|44.9774859, -93.2643669|https://www.loc.gov/item/sn90059654/?st=calendar|130|1882-05-03|1885-03-11|True|Swedish|Swedish
The Skyland Post (West Jefferson, N.C.) 193?-1988|sn92073203|26846419|2837-6072|North Carolina|Ashe|West Jefferson|36.403553, -81.492958|https://www.loc.gov/item/sn92073203/?st=calendar|661|1935-01-03|1947-08-21|True|English|
The Skylight Kicker (Flagstaff, Ariz.) 1897-1898|sn94050555|31640681|2158-4818|Arizona|Coconino|Flagstaff|35.1981962, -111.6513786|https://www.loc.gov/item/sn94050555/?st=calendar|6|1897-11-25|1897-12-30|True|English|
The Smoky Hill and Republican Union (Junction City, Kan.) 1861-1864|sn84030186|11334346|2158-2769|Kansas|Geary|Junction City|39.02829, -96.837231|https://www.loc.gov/item/sn84030186/?st=calendar|155|1861-09-12|1864-11-19|True|English|
The Smyrna Call (Smyrna, Del.) 1897-19??|sn88053031|18317356|2639-5169|Delaware|Kent|Smyrna|39.299498, -75.608088|https://www.loc.gov/item/sn88053031/?st=calendar|1|1901-10-08|1901-10-08|True|English|
The Smyrna Telegraph (Smyrna, Del.) 1849-1850|sn88053064|18284649|2638-4272|Delaware|Kent|Smyrna|39.299498, -75.608088|https://www.loc.gov/item/sn88053064/?st=calendar|4|1850-01-03|1850-03-28|True|English|
Smyrna Times (Smyrna, Del.) 1854-1987|sn84020422|2670686|2836-1032|Delaware|Kent|Smyrna|39.299498, -75.608088|https://www.loc.gov/item/sn84020422/?st=calendar|5511|1854-07-05|1963-12-24|True|English|
The Sneedville News (Sneedville, Tenn.) 191?-19??|sn97065558|38121219|2473-3253|Tennessee|Hancock|Sneedville|36.530405, -83.216381|https://www.loc.gov/item/sn97065558/?st=calendar|108|1913-10-03|1922-10-27|True|English|
Snips (St. Johns, Ariz.) 1901-1903|sn95060580|33179463|2326-0734|Arizona|Apache|Saint Johns|34.509436, -109.371261|https://www.loc.gov/item/sn95060580/?st=calendar|1|1902-12-18|1902-12-18|True|English|
